country,year,urban_pct
Hong Kong,2024,100.0
Hong Kong,2025,100.0
Hong Kong,2026,100.0
India,2020,34.1286726088333
India,2021,34.4425517181304
India,2022,34.7555673994206
India,2023,35.0676918424186
India,2024,35.3788972368389
India,2025,35.3788972368389
India,2026,35.3788972368389
Iraq,2020,69.8683166503906
Iraq,2021,69.8682708740234
Iraq,2022,69.8682861328125
Iraq,2023,69.868278503418
Iraq,2024,69.8861494108913
Iraq,2025,69.8861494108913
Iraq,2026,69.8861494108913
Ireland,2020,63.4713366724915
Ireland,2021,63.6774229356985
Ireland,2022,63.8920250215059
Ireland,2023,64.1152082461268
Ireland,2024,64.3470379255585
Ireland,2025,64.3470379255585
Ireland,2026,64.3470379255585
Israel,2020,91.5788453228939
Israel,2021,91.5353517549466
Israel,2022,91.4979834273327
Israel,2023,91.5089569794505
Israel,2024,91.536188843818
Israel,2025,91.536188843818
Israel,2026,91.536188843818
Italy,2020,69.5187492370606
Italy,2021,69.4812507629394
Italy,2022,69.4839779766539
Italy,2023,69.5381540123301
Italy,2024,69.6047535143071
Italy,2025,69.6047535143071
Italy,2026,69.6047535143071
Japan,2020,91.7809926267889
Japan,2021,91.8741049279527
Japan,2022,91.9776532428406
Japan,2023,92.0826903891473
Japan,2024,92.1901718034531
Japan,2025,92.1901718034531
Japan,2026,92.1901718034531
Jordan,2020,91.8216722992319
Jordan,2021,92.117972910453
Jordan,2022,92.4048379066163
Jordan,2023,92.682236868336
Jordan,2024,92.9501393764286
Jordan,2025,92.9501393764286
Jordan,2026,92.9501393764286
Kenya,2020,31.2063494632616
Kenya,2021,31.2879334021971
Kenya,2022,31.4307820066946
Kenya,2023,31.6330340816429
Kenya,2024,31.8937831721599
Kenya,2025,31.8937831721599
Kenya,2026,31.8937831721599
Korea| South,2020,81.1759595622913
Korea| South,2021,81.1616526507785
Korea| South,2022,81.1624941626873
Korea| South,2023,81.1645551720421
Korea| South,2024,81.1682528469686
Korea| South,2025,81.1682528469686
Korea| South,2026,81.1682528469686
Kyrgyzstan,2020,34.8174315392111
Kyrgyzstan,2021,34.7521210171204
Kyrgyzstan,2022,34.7003053497743
Kyrgyzstan,2023,34.706439175362
Kyrgyzstan,2024,34.7219977865937
Kyrgyzstan,2025,34.7219977865937
Kyrgyzstan,2026,34.7219977865937
Madagascar,2020,30.7019474167548
Madagascar,2021,31.1137123216036
Madagascar,2022,31.5397813465886
Madagascar,2023,31.9799438860946
Madagascar,2024,32.4339893339844
Madagascar,2025,32.4339893339844
Madagascar,2026,32.4339893339844
Malaysia,2020,75.0511895575672
Malaysia,2021,75.5088628191907
Malaysia,2022,75.9741357073003
Malaysia,2023,76.4434752105739
Malaysia,2024,76.9170296648992
Malaysia,2025,76.9170296648992
Malaysia,2026,76.9170296648992
Mexico,2020,78.677960602824
Mexico,2021,78.9324007418057
Mexico,2022,79.199683215791
Mexico,2023,79.4734935748046
Mexico,2024,79.7538805976118
Mexico,2025,79.7538805976118
Mexico,2026,79.7538805976118
Morocco,2020,62.0933436005366
Morocco,2021,62.3173276600289
Morocco,2022,62.5118468550703
Morocco,2023,62.673750838878
Morocco,2024,62.7998124018197
Morocco,2025,62.7998124018197
Morocco,2026,62.7998124018197
Mozambique,2020,33.9044006416285
Mozambique,2021,34.4499259401554
Mozambique,2022,35.0536638047945
Mozambique,2023,35.7149783148407
Mozambique,2024,36.4332337447237
Mozambique,2025,36.4332337447237
Mozambique,2026,36.4332337447237
New Zealand,2020,83.8138977095908
New Zealand,2021,83.8299382585905
New Zealand,2022,83.8547305017812
New Zealand,2023,83.8898991461229
New Zealand,2024,83.9370658833132
New Zealand,2025,83.9370658833132
New Zealand,2026,83.9370658833132
Nicaragua,2020,58.7045922689128
Nicaragua,2021,58.8592529296875
Nicaragua,2022,58.9954376220703
Nicaragua,2023,59.1250953674316
Nicaragua,2024,59.2628402709961
Nicaragua,2025,59.2628402709961
Nicaragua,2026,59.2628402709961
Nigeria,2020,59.7659654848781
Nigeria,2021,60.5698545383604
Nigeria,2022,61.3727650622225
Nigeria,2023,62.1746763155343
Nigeria,2024,62.9755675573659
Nigeria,2025,62.9755675573659
Nigeria,2026,62.9755675573659
Pakistan,2020,37.5080192948099
Pakistan,2021,37.9333395514173
Pakistan,2022,38.3740439760816
Pakistan,2023,38.8191861872791
Pakistan,2024,39.1734368360905
Pakistan,2025,39.1734368360905
Pakistan,2026,39.1734368360905
Panama,2020,65.7862999591993
Panama,2021,65.8092302689169
Panama,2022,65.8211343914956
Panama,2023,65.8601271176084
Panama,2024,65.9958447685488
Panama,2025,65.9958447685488
Panama,2026,65.9958447685488
Paraguay,2020,66.116520986009
Paraguay,2021,67.3058612772421
Paraguay,2022,68.6396537819458
Paraguay,2023,69.3466081733694
Paraguay,2024,69.8622585886961
Paraguay,2025,69.8622585886961
Paraguay,2026,69.8622585886961
Peru,2020,83.5267437189637
Peru,2021,83.9480118272361
Peru,2022,84.3663554951194
Peru,2023,84.7810255849745
Peru,2024,85.1912729600355
Peru,2025,85.1912729600355
Peru,2026,85.1912729600355
Philippines,2020,54.1077719895977
Philippines,2021,54.4504102510776
Philippines,2022,54.7902343568327
Philippines,2023,55.1242716168851
Philippines,2024,55.4520983215477
Philippines,2025,55.4520983215477
Philippines,2026,55.4520983215477
Portugal,2020,61.1042566768691
Portugal,2021,61.0951249296597
Portugal,2022,61.1259255772782
Portugal,2023,61.2048652633664
Portugal,2024,61.3281907341332
Portugal,2025,61.3281907341332
Portugal,2026,61.3281907341332
Puerto Rico,2020,94.0116144995587
Puerto Rico,2021,94.0550712597302
Puerto Rico,2022,94.1110923054937
Puerto Rico,2023,94.1774359275881
Puerto Rico,2024,94.2539505199436
Puerto Rico,2025,94.2539505199436
Puerto Rico,2026,94.2539505199436
Russia,2020,74.6932216791674
Russia,2021,74.7516840220252
Russia,2022,74.8544893625017
Russia,2023,74.9805047873279
Russia,2024,75.1119136177067
Russia,2025,75.1119136177067
Russia,2026,75.1119136177067
Rwanda,2020,24.5029761132966
Rwanda,2021,26.1049092762833
Rwanda,2022,27.7806702737761
Rwanda,2023,28.8555310645477
Rwanda,2024,29.8849714294083
Rwanda,2025,29.8849714294083
Rwanda,2026,29.8849714294083
