country,year,age_group,pop_male,pop_female,pop_total
Argentina,2020,25-34,3476.016,3355.954,6831.968
Argentina,2020,35-44,3176.891,3110.892,6287.783
Argentina,2020,45-54,2467.372,2495.494,4962.865
Argentina,2020,55-64,1999.334,2105.138,4104.473
Argentina,2020,65-74,1404.402,1673.867,3078.269
Argentina,2020,75-84,660.541,1006.951,1667.488
Argentina,2020,85+,171.401,412.528,583.928
Argentina,2021,18-24,2487.018,2379.434,4866.452
Argentina,2021,25-34,3501.524,3379.585,6881.107
Argentina,2021,35-44,3201.019,3132.076,6333.094
Argentina,2021,45-54,2532.154,2555.611,5087.767
Argentina,2021,55-64,2006.531,2112.566,4119.096
Argentina,2021,65-74,1421.624,1692.57,3114.194
Argentina,2021,75-84,671.972,1023.868,1695.841
Argentina,2021,85+,173.639,416.921,590.562
Argentina,2022,18-24,2484.14,2374.992,4859.136
Argentina,2022,25-34,3520.006,3396.808,6916.812
Argentina,2022,35-44,3219.562,3148.101,6367.664
Argentina,2022,45-54,2605.056,2622.164,5227.218
Argentina,2022,55-64,2014.719,2120.742,4135.459
Argentina,2022,65-74,1438.328,1708.391,3146.717
Argentina,2022,75-84,683.951,1040.364,1724.315
Argentina,2022,85+,174.76,418.63,593.389
Argentina,2023,18-24,2486.187,2375.187,4861.374
Argentina,2023,25-34,3533.216,3408.774,6941.991
Argentina,2023,35-44,3237.19,3163.19,6400.381
Argentina,2023,45-54,2684.346,2692.333,5376.681
Argentina,2023,55-64,2032.297,2136.33,4168.625
Argentina,2023,65-74,1460.897,1726.999,3187.897
Argentina,2023,75-84,703.826,1063.684,1767.512
Argentina,2023,85+,178.018,423.632,601.653
Argentina,2024,18-24,2489.327,2375.783,4865.106
Argentina,2024,25-34,3544.127,3418.324,6962.453
Argentina,2024,35-44,3255.356,3178.693,6434.051
Argentina,2024,45-54,2762.272,2760.745,5523.014
Argentina,2024,55-64,2053.884,2156.454,4210.34
Argentina,2024,65-74,1487.796,1749.184,3236.981
Argentina,2024,75-84,728.512,1091.127,1819.637
Argentina,2024,85+,184.489,432.532,617.017
Argentina,2025,18-24,2492.469,2375.502,4867.973
Argentina,2025,25-34,3551.385,3424.347,6975.733
Argentina,2025,35-44,3276.308,3196.209,6472.516
Argentina,2025,45-54,2835.395,2825.515,5660.911
Argentina,2025,55-64,2077.629,2179.698,4257.33
Argentina,2025,65-74,1516.31,1772.613,3288.923
Argentina,2025,75-84,753.201,1118.336,1871.536
Argentina,2025,85+,191.466,441.137,632.602
Argentina,2026,18-24,2504.852,2383.912,4888.763
Argentina,2026,25-34,3551.711,3423.665,6975.375
Argentina,2026,35-44,3301.72,3217.404,6519.123
Argentina,2026,45-54,2901.768,2884.547,5786.311
Argentina,2026,55-64,2106.331,2208.122,4314.453
Argentina,2026,65-74,1543.346,1794.041,3337.387
Argentina,2026,75-84,778.389,1146.205,1924.594
Argentina,2026,85+,198.855,450.682,649.54
Armenia,2020,18-24,120.291,117.452,237.746
Armenia,2020,25-34,225.897,246.949,472.846
Armenia,2020,35-44,190.817,224.782,415.6
Armenia,2020,45-54,144.76,183.511,328.269
Armenia,2020,55-64,166.737,228.381,395.119
Armenia,2020,65-74,87.99,135.231,223.219
Armenia,2020,75-84,34.552,67.371,101.927
Armenia,2020,85+,8.976,22.715,31.688
Armenia,2021,18-24,116.525,115.631,232.155
Armenia,2021,25-34,218.398,234.765,453.163
Armenia,2021,35-44,196.026,227.713,423.737
Armenia,2021,45-54,147.072,182.68,329.751
Armenia,2021,55-64,165.704,226.609,392.314
Armenia,2021,65-74,92.629,143.9,236.531
Armenia,2021,75-84,31.614,62.955,94.567
Armenia,2021,85+,8.618,21.959,30.573
Armenia,2022,18-24,117.002,117.183,234.184
Armenia,2022,25-34,214.391,227.692,442.082
Armenia,2022,35-44,202.658,232.829,435.488
Armenia,2022,45-54,149.424,183.55,332.975
Armenia,2022,55-64,163.558,223.256,386.811
Armenia,2022,65-74,97.342,152.003,249.346
Armenia,2022,75-84,30.486,61.254,91.741
Armenia,2022,85+,8.581,22.407,30.986
Armenia,2023,18-24,123.87,124.001,247.874
Armenia,2023,25-34,217.108,228.418,445.524
Armenia,2023,35-44,212.756,242.291,455.047
Armenia,2023,45-54,152.77,186.845,339.618
Armenia,2023,55-64,160.801,218.972,379.771
Armenia,2023,65-74,103.026,161.092,264.115
Armenia,2023,75-84,30.523,61.424,91.946
Armenia,2023,85+,8.912,23.884,32.796
Armenia,2024,18-24,127.285,127.112,254.397
Armenia,2024,25-34,214.188,223.738,437.926
Armenia,2024,35-44,220.36,249.176,469.535
Armenia,2024,45-54,156.314,190.48,346.797
Armenia,2024,55-64,156.82,212.797,369.618
Armenia,2024,65-74,108.952,170.716,279.673
Armenia,2024,75-84,31.01,62.326,93.335
Armenia,2024,85+,9.27,25.227,34.496
Armenia,2025,18-24,125.315,124.35,249.662
Armenia,2025,25-34,202.707,210.72,413.423
Armenia,2025,35-44,223.586,251.707,475.288
Armenia,2025,45-54,159.18,193.644,352.824
Armenia,2025,55-64,151.533,204.959,356.493
Armenia,2025,65-74,114.148,179.661,293.808
Armenia,2025,75-84,32.276,64.448,96.723
Armenia,2025,85+,9.569,26.31,35.874
Armenia,2026,18-24,124.644,122.589,247.233
Armenia,2026,25-34,191.28,197.941,389.226
Armenia,2026,35-44,225.818,253.029,478.85
Armenia,2026,45-54,162.826,197.578,360.404
Armenia,2026,55-64,146.34,197.035,343.374
Armenia,2026,65-74,118.545,187.541,306.087
Armenia,2026,75-84,34.324,68.117,102.44
Armenia,2026,85+,9.619,26.744,36.358
Australia,2020,18-24,1193.362,1124.228,2317.588
Australia,2020,25-34,1897.136,1903.795,3800.929
Australia,2020,35-44,1723.699,1753.465,3477.167
Australia,2020,45-54,1608.868,1655.15,3264.02
Australia,2020,55-64,1470.582,1543.667,3014.25
Australia,2020,65-74,1153.068,1226.39,2379.457
Australia,2020,75-84,610.292,689.131,1299.424
Australia,2020,85+,203.547,323.78,527.323
Australia,2021,18-24,1163.189,1095.621,2258.812
Australia,2021,25-34,1895.575,1895.12,3790.694
Australia,2021,35-44,1758.535,1790.711,3549.244
Australia,2021,45-54,1618.628,1662.251,3280.882
Australia,2021,55-64,1483.408,1555.794,3039.199
Australia,2021,65-74,1175.845,1259.014,2434.86
Australia,2021,75-84,644.363,722.822,1367.184
Australia,2021,85+,212.819,332.628,545.447
Australia,2022,18-24,1150.53,1084.485,2235.016
Australia,2022,25-34,1906.353,1893.901,3800.252
Australia,2022,35-44,1798.381,1830.154,3628.531
Australia,2022,45-54,1627.4,1670.917,3298.317
Australia,2022,55-64,1487.118,1560.369,3047.486
Australia,2022,65-74,1189.654,1281.145,2470.8
Australia,2022,75-84,682.365,763.161,1445.525
Australia,2022,85+,218.467,339.034,557.503
Australia,2023,18-24,1146.763,1082.038,2228.8
